,Infected_vac,Infected_not_vac,city_sus_above65,city_sus_below65,rural_sus_above65,rural_sus_below65,Resistant_vac,Resistant_nature,Death,Vccinated_state,State_VACC_NO,State_VACC_YES,accumulated_infected_number,Path_No
176,0,0,1,11,0,6,287,636,5,56,0,54,641,3
177,0,0,1,11,0,6,287,636,5,56,0,54,641,3
178,0,0,1,11,0,6,287,636,5,56,0,54,641,3
179,0,0,1,11,0,6,287,636,5,56,0,54,641,3
180,0,0,1,11,0,6,287,636,5,56,0,54,641,3
181,0,0,1,11,0,6,287,636,5,56,0,54,641,3
182,0,0,1,11,0,6,287,636,5,56,0,54,641,3
183,0,0,1,11,0,6,287,636,5,56,0,54,641,3
184,0,0,1,11,0,6,287,636,5,56,0,54,641,3
185,0,0,1,11,0,6,287,636,5,56,0,54,641,3
186,0,0,1,11,0,6,287,636,5,56,0,54,641,3
187,0,0,1,11,0,6,287,636,5,56,0,54,641,3
188,0,0,1,11,0,6,287,636,5,56,0,54,641,3
189,0,0,1,11,0,6,287,636,5,56,0,54,641,3
190,0,0,1,11,0,6,287,636,5,56,0,54,641,3
191,0,0,1,11,0,6,287,636,5,56,0,54,641,3
192,0,0,1,11,0,6,287,636,5,56,0,54,641,3
193,0,0,1,11,0,6,287,636,5,56,0,54,641,3
194,0,0,1,11,0,6,287,636,5,56,0,54,641,3
195,0,0,1,11,0,6,287,636,5,56,0,54,641,3
196,0,0,1,11,0,6,287,636,5,56,0,54,641,3
197,0,0,1,11,0,6,287,636,5,56,0,54,641,3
198,0,0,1,11,0,6,287,636,5,56,0,54,641,3
199,0,0,1,11,0,6,287,636,5,56,0,54,641,3
200,0,0,1,11,0,6,287,636,5,56,0,54,641,3
201,0,0,1,11,0,6,287,636,5,56,0,54,641,3
202,0,0,1,11,0,6,287,636,5,56,0,54,641,3
203,0,0,1,11,0,6,287,636,5,56,0,54,641,3
204,0,0,1,11,0,6,287,636,5,56,0,54,641,3
205,0,0,1,11,0,6,287,636,5,56,0,54,641,3
206,0,0,1,11,0,6,287,636,5,56,0,54,641,3
207,0,0,1,11,0,6,287,636,5,56,0,54,641,3
208,0,0,1,11,0,6,287,636,5,56,0,54,641,3
209,0,0,1,11,0,6,287,636,5,56,0,54,641,3
210,0,0,1,11,0,6,287,636,5,56,0,54,641,3
211,0,0,1,11,0,6,287,636,5,56,0,54,641,3
212,0,0,1,11,0,6,287,636,5,56,0,54,641,3
213,0,0,1,11,0,6,287,636,5,56,0,54,641,3
214,0,0,1,11,0,6,287,636,5,56,0,54,641,3
215,0,0,1,11,0,6,287,636,5,56,0,54,641,3
216,0,0,1,11,0,6,287,636,5,56,0,54,641,3
217,0,0,1,11,0,6,287,636,5,56,0,54,641,3
218,0,0,1,11,0,6,287,636,5,56,0,54,641,3
219,0,0,1,11,0,6,287,636,5,56,0,54,641,3
220,0,0,1,11,0,6,287,636,5,56,0,54,641,3
221,0,0,1,11,0,6,287,636,5,56,0,54,641,3
222,0,0,1,11,0,6,287,636,5,56,0,54,641,3
223,0,0,1,11,0,6,287,636,5,56,0,54,641,3
224,0,0,1,11,0,6,287,636,5,56,0,54,641,3
225,0,0,1,11,0,6,287,636,5,56,0,54,641,3
226,0,0,1,11,0,6,287,636,5,56,0,54,641,3
227,0,0,1,11,0,6,287,636,5,56,0,54,641,3
228,0,0,1,11,0,6,287,636,5,56,0,54,641,3
229,0,0,1,11,0,6,287,636,5,56,0,54,641,3
230,0,0,1,11,0,6,287,636,5,56,0,54,641,3
231,0,0,1,11,0,6,287,636,5,56,0,54,641,3
232,0,0,1,11,0,6,287,636,5,56,0,54,641,3
233,0,0,1,11,0,6,287,636,5,56,0,54,641,3
234,0,0,1,11,0,6,287,636,5,56,0,54,641,3
235,0,0,1,11,0,6,287,636,5,56,0,54,641,3
236,0,0,1,11,0,6,287,636,5,56,0,54,641,3
237,0,0,1,11,0,6,287,636,5,56,0,54,641,3
238,0,0,1,11,0,6,287,636,5,56,0,54,641,3
239,0,0,1,11,0,6,287,636,5,56,0,54,641,3
240,0,0,1,11,0,6,287,636,5,56,0,54,641,3
241,0,0,1,11,0,6,287,636,5,56,0,54,641,3
242,0,0,1,11,0,6,287,636,5,56,0,54,641,3
243,0,0,1,11,0,6,287,636,5,56,0,54,641,3
244,0,0,1,11,0,6,287,636,5,56,0,54,641,3
245,0,0,1,11,0,6,287,636,5,56,0,54,641,3
246,0,0,1,11,0,6,287,636,5,56,0,54,641,3
247,0,0,1,11,0,6,287,636,5,56,0,54,641,3
248,0,0,1,11,0,6,287,636,5,56,0,54,641,3
249,0,0,1,11,0,6,287,636,5,56,0,54,641,3
250,0,0,1,11,0,6,287,636,5,56,0,54,641,3
251,0,0,1,11,0,6,287,636,5,56,0,54,641,3
252,0,0,1,11,0,6,287,636,5,56,0,54,641,3
253,0,0,1,11,0,6,287,636,5,56,0,54,641,3
254,0,0,1,11,0,6,287,636,5,56,0,54,641,3
255,0,0,1,11,0,6,287,636,5,56,0,54,641,3
256,0,0,1,11,0,6,287,636,5,56,0,54,641,3
257,0,0,1,11,0,6,287,636,5,56,0,54,641,3
258,0,0,1,11,0,6,287,636,5,56,0,54,641,3
259,0,0,1,11,0,6,287,636,5,56,0,54,641,3
260,0,0,1,11,0,6,287,636,5,56,0,54,641,3
261,0,0,1,11,0,6,287,636,5,56,0,54,641,3
262,0,0,1,11,0,6,287,636,5,56,0,54,641,3
263,0,0,1,11,0,6,287,636,5,56,0,54,641,3
264,0,0,1,11,0,6,287,636,5,56,0,54,641,3
265,0,0,1,11,0,6,287,636,5,56,0,54,641,3
266,0,0,1,11,0,6,287,636,5,56,0,54,641,3
267,0,0,1,11,0,6,287,636,5,56,0,54,641,3
268,0,0,1,11,0,6,287,636,5,56,0,54,641,3
269,0,0,1,11,0,6,287,636,5,56,0,54,641,3
270,0,0,1,11,0,6,287,636,5,56,0,54,641,3
271,0,0,1,11,0,6,287,636,5,56,0,54,641,3
272,0,0,1,11,0,6,287,636,5,56,0,54,641,3
273,0,0,1,11,0,6,287,636,5,56,0,54,641,3
274,0,0,1,11,0,6,287,636,5,56,0,54,641,3
275,0,0,1,11,0,6,287,636,5,56,0,54,641,3
276,0,0,1,11,0,6,287,636,5,56,0,54,641,3
277,0,0,1,11,0,6,287,636,5,56,0,54,641,3
278,0,0,1,11,0,6,287,636,5,56,0,54,641,3
279,0,0,1,11,0,6,287,636,5,56,0,54,641,3
280,0,0,1,11,0,6,287,636,5,56,0,54,641,3
281,0,0,1,11,0,6,287,636,5,56,0,54,641,3
282,0,0,1,11,0,6,287,636,5,56,0,54,641,3
283,0,0,1,11,0,6,287,636,5,56,0,54,641,3
284,0,0,1,11,0,6,287,636,5,56,0,54,641,3
285,0,0,1,11,0,6,287,636,5,56,0,54,641,3
286,0,0,1,11,0,6,287,636,5,56,0,54,641,3
287,0,0,1,11,0,6,287,636,5,56,0,54,641,3
288,0,0,1,11,0,6,287,636,5,56,0,54,641,3
289,0,0,1,11,0,6,287,636,5,56,0,54,641,3
290,0,0,1,11,0,6,287,636,5,56,0,54,641,3
291,0,0,1,11,0,6,287,636,5,56,0,54,641,3
292,0,0,1,11,0,6,287,636,5,56,0,54,641,3
293,0,0,1,11,0,6,287,636,5,56,0,54,641,3
294,0,0,1,11,0,6,287,636,5,56,0,54,641,3
295,0,0,1,11,0,6,287,636,5,56,0,54,641,3
296,0,0,1,11,0,6,287,636,5,56,0,54,641,3
297,0,0,1,11,0,6,287,636,5,56,0,54,641,3
298,0,0,1,11,0,6,287,636,5,56,0,54,641,3
299,0,0,1,11,0,6,287,636,5,56,0,54,641,3
300,0,0,1,11,0,6,287,636,5,56,0,54,641,3
301,0,0,1,11,0,6,287,636,5,56,0,54,641,3
302,0,0,1,11,0,6,287,636,5,56,0,54,641,3
303,0,0,1,11,0,6,287,636,5,56,0,54,641,3
304,0,0,1,11,0,6,287,636,5,56,0,54,641,3
305,0,0,1,11,0,6,287,636,5,56,0,54,641,3
306,0,0,1,11,0,6,287,636,5,56,0,54,641,3
307,0,0,1,11,0,6,287,636,5,56,0,54,641,3
308,0,0,1,11,0,6,287,636,5,56,0,54,641,3
309,0,0,1,11,0,6,287,636,5,56,0,54,641,3
310,0,0,1,11,0,6,287,636,5,56,0,54,641,3
311,0,0,1,11,0,6,287,636,5,56,0,54,641,3
